date,n_assets,assets,turnover,transaction_cost,expected_return,volatility,sharpe_ratio,sortino_ratio,weights_sum
2018-01-03,15,"{'AAPL': 0.1572, 'MSFT': 0.033, 'NVDA': 0.1545, 'TSLA': 0.0789, 'JPM': 0.0513, 'V': 0.0093, 'UNH': 0.0266, 'JNJ': 0.0093, 'WMT': 0.1962, 'XOM': 0.0093, 'PG': 0.0427, 'MA': 0.0406, 'MRK': 0.0863, 'ABBV': 0.095, 'PEP': 0.0098}",0.4695,0.000939,23.667,21.764,0.9036,1.1135,1.0
2018-02-01,13,"{'AAPL': 0.1728, 'MSFT': 0.0676, 'GOOGL': 0.0112, 'NVDA': 0.2181, 'TSLA': 0.0841, 'JPM': 0.0834, 'UNH': 0.0315, 'WMT': 0.1864, 'PG': 0.0248, 'MA': 0.0114, 'HD': 0.0147, 'MRK': 0.0463, 'ABBV': 0.0478}",0.1817,0.000363,26.795,24.732,0.9217,1.1607,1.0
2018-03-01,15,"{'AAPL': 0.1299, 'MSFT': 0.0715, 'GOOGL': 0.0247, 'NVDA': 0.2132, 'TSLA': 0.0838, 'JPM': 0.0452, 'V': 0.0089, 'UNH': 0.0731, 'WMT': 0.1522, 'PG': 0.0441, 'MA': 0.0245, 'HD': 0.0089, 'MRK': 0.0547, 'ABBV': 0.0445, 'PEP': 0.0209}",0.1296,0.000259,25.938,24.194,0.9067,1.1337,1.0
2018-04-02,13,"{'AAPL': 0.2119, 'MSFT': 0.068, 'NVDA': 0.1664, 'META': 0.0328, 'TSLA': 0.0839, 'JPM': 0.0518, 'UNH': 0.0544, 'WMT': 0.1901, 'PG': 0.0124, 'MA': 0.0276, 'HD': 0.0099, 'MRK': 0.0618, 'ABBV': 0.029}",0.1706,0.000341,25.662,23.979,0.9034,1.1287,1.0
2018-05-01,12,"{'AAPL': 0.1847, 'MSFT': 0.0407, 'GOOGL': 0.0109, 'NVDA': 0.1765, 'TSLA': 0.0962, 'JPM': 0.0528, 'UNH': 0.0807, 'WMT': 0.2152, 'PG': 0.0363, 'CVX': 0.0164, 'MRK': 0.0327, 'ABBV': 0.0569}",0.1539,0.000308,25.471,23.469,0.9149,1.1404,1.0
2018-06-01,13,"{'AAPL': 0.1873, 'AMZN': 0.0147, 'NVDA': 0.2043, 'TSLA': 0.0977, 'JPM': 0.0335, 'V': 0.0208, 'UNH': 0.044, 'WMT': 0.2065, 'PG': 0.025, 'CVX': 0.011, 'MRK': 0.0869, 'ABBV': 0.0526, 'PEP': 0.0158}",0.1372,0.000274,25.954,23.773,0.9235,1.1629,1.0
2018-07-02,14,"{'AAPL': 0.1968, 'MSFT': 0.0394, 'AMZN': 0.0156, 'NVDA': 0.1645, 'TSLA': 0.0901, 'JPM': 0.0322, 'V': 0.0159, 'UNH': 0.0241, 'WMT': 0.1909, 'PG': 0.0336, 'HD': 0.0448, 'MRK': 0.0697, 'ABBV': 0.069, 'PEP': 0.0136}",0.1196,0.000239,24.935,23.087,0.9068,1.1311,1.0
2018-08-01,15,"{'AAPL': 0.1508, 'MSFT': 0.0525, 'GOOGL': 0.0244, 'NVDA': 0.1791, 'META': 0.0084, 'TSLA': 0.0975, 'JPM': 0.0577, 'UNH': 0.049, 'WMT': 0.159, 'XOM': 0.0084, 'PG': 0.0461, 'HD': 0.0113, 'MRK': 0.0801, 'ABBV': 0.0623, 'PEP': 0.0135}",0.1497,0.000299,25.1,23.314,0.905,1.1245,1.0
2018-09-04,14,"{'AAPL': 0.1717, 'MSFT': 0.0148, 'GOOGL': 0.0082, 'NVDA': 0.1908, 'TSLA': 0.0706, 'JPM': 0.0327, 'UNH': 0.0785, 'WMT': 0.1593, 'PG': 0.0459, 'MA': 0.0264, 'HD': 0.0347, 'MRK': 0.0722, 'ABBV': 0.0561, 'PEP': 0.0381}",0.1369,0.000274,24.471,22.829,0.8967,1.1068,1.0
2018-10-01,14,"{'AAPL': 0.2239, 'MSFT': 0.0398, 'NVDA': 0.1915, 'META': 0.0103, 'TSLA': 0.0612, 'JPM': 0.0772, 'V': 0.01, 'UNH': 0.0619, 'WMT': 0.1826, 'PG': 0.0528, 'MA': 0.0173, 'CVX': 0.0093, 'MRK': 0.0265, 'ABBV': 0.0357}",0.1823,0.000365,25.513,23.74,0.9062,1.1286,1.0
2018-11-01,11,"{'AAPL': 0.1599, 'MSFT': 0.0658, 'NVDA': 0.1828, 'META': 0.0279, 'TSLA': 0.0825, 'JPM': 0.0637, 'UNH': 0.0524, 'WMT': 0.2196, 'PG': 0.0675, 'MRK': 0.0512, 'ABBV': 0.0267}",0.1413,0.000283,25.348,23.285,0.9168,1.149,1.0
2018-12-03,14,"{'AAPL': 0.1726, 'MSFT': 0.0496, 'NVDA': 0.186, 'META': 0.0197, 'TSLA': 0.072, 'JPM': 0.0662, 'UNH': 0.0279, 'JNJ': 0.0432, 'WMT': 0.1683, 'XOM': 0.0259, 'PG': 0.017, 'MRK': 0.0779, 'ABBV': 0.0618, 'PEP': 0.0118}",0.1612,0.000322,24.34,22.808,0.8918,1.1061,1.0
